Company Name,Market Cap,Revenue,Trade Show,Dates
Honeywell,$128.11Billion,$38.49Billion,2025 HVAC Excellence National HVACR Education Conference,
Sherwin-Williams,$83.40Billion,$23.09Billion,ISA Sign Expo,
Midea,$76.08Billion,$56.85Billion,2025 HVAC Excellence National HVACR Education Conference,
Electric & Gas Industries Association,$56.99Billion,$19.72Billion,2025 HVAC Excellence National HVACR Education Conference,
D&R International,$45.12Billion,$14.45Billion,2025 HVAC Excellence National HVACR Education Conference,
Bosch,$9.67Billion,$2.02Billion,2025 HVAC Excellence National HVACR Education Conference,
LG Electronics,$8.36Billion,$63.84Billion,2025 HVAC Excellence National HVACR Education Conference,
Mueller Industries,$8.07Billion,$3.76Billion,2025 HVAC Excellence National HVACR Education Conference,
Regal Rexnord,$7.09Billion,$6.03Billion,2025 HVAC Excellence National HVACR Education Conference,
MODINE,$4.26Billion,$2.53Billion,2025 HVAC Excellence National HVACR Education Conference,
Resideo,$2.41Billion,$6.76Billion,2025 HVAC Excellence National HVACR Education Conference,
Chemours,$1.84Billion,$5.78Billion,2025 HVAC Excellence National HVACR Education Conference,
Hudson Technologies,$0.27Billion,$0.23Billion,2025 HVAC Excellence National HVACR Education Conference,
Podium,$0.27Billion,$0.23Billion,2025 HVAC Excellence National HVACR Education Conference,
